OrderID,OrderDate,Region,Category,CustomerSegment,ShipMode,Quantity,UnitPrice,Discount,ShippingCost,Sales,Profit,Month,Year,Quarter
ORD-00071,2023-09-27,South,Furniture,Consumer,Standard Class,1,127.67,0.0,34.1,127.67,0.58,September,2023,Q3
ORD-00072,2023-02-24,South,Food & Beverages,Corporate,Standard Class,19,183.9,0.0,14.69,3494.1,357.86,February,2023,Q1
ORD-00073,2023-09-14,West,Food & Beverages,Consumer,Standard Class,4,239.35,0.2,43.31,765.92,131.42,September,2023,Q3
ORD-00074,2022-07-01,North,Clothing,Consumer,Standard Class,4,302.39,0.0,4.58,1209.56,360.53,July,2022,Q3
ORD-00075,2022-01-30,East,Sports,Home Office,Standard Class,19,259.39,0.3,40.44,3449.89,655.69,January,2022,Q1
ORD-00076,2023-10-24,South,Clothing,Consumer,Standard Class,14,116.62,0.0,7.75,1632.68,95.18,October,2023,Q4
ORD-00077,2023-09-10,North,Clothing,Consumer,Standard Class,5,334.6,0.2,3.18,1338.4,292.42,September,2023,Q3
ORD-00078,2022-04-19,South,Food & Beverages,Corporate,Second Class,8,235.52,0.1,14.97,1695.74,88.9,April,2022,Q2
ORD-00079,2022-02-15,East,Food & Beverages,Corporate,Standard Class,6,325.14,0.1,48.26,1755.76,502.55,February,2022,Q1
ORD-00080,2022-12-16,South,Food & Beverages,Consumer,Standard Class,17,215.77,0.1,19.28,3301.28,381.54,December,2022,Q4
ORD-00081,2023-03-24,North,Clothing,Corporate,Second Class,19,150.17,0.1,33.71,2567.91,537.95,March,2023,Q1
ORD-00082,2023-03-23,South,Electronics,Home Office,Second Class,8,66.39,0.1,20.06,478.01,118.43,March,2023,Q1
ORD-00083,2023-06-28,East,Furniture,Corporate,Standard Class,14,404.19,0.4,46.84,3395.2,833.44,June,2023,Q2
ORD-00084,2023-08-11,West,Furniture,Corporate,Standard Class,11,103.39,0.2,34.61,909.83,282.66,August,2023,Q3
ORD-00085,2022-02-11,West,Electronics,Consumer,Second Class,12,23.33,0.3,7.84,195.97,59.51,February,2022,Q1
ORD-00086,2023-11-26,North,Food & Beverages,Corporate,Standard Class,6,102.26,0.1,12.43,552.2,129.29,November,2023,Q4
ORD-00087,2022-08-18,West,Clothing,Home Office,Second Class,18,35.19,0.4,19.96,380.05,12.27,August,2022,Q3
ORD-00088,2023-06-20,East,Furniture,Consumer,Standard Class,2,488.42,0.0,26.17,976.84,28.45,June,2023,Q2
ORD-00089,2022-10-26,West,Food & Beverages,Corporate,Same Day,15,338.76,0.2,45.17,4065.12,1058.3,October,2022,Q4
ORD-00090,2022-12-14,West,Furniture,Consumer,First Class,5,307.32,0.0,11.63,1536.6,212.9,December,2022,Q4
ORD-00091,2022-06-15,East,Furniture,Consumer,Standard Class,5,309.54,0.2,15.38,1238.16,218.29,June,2022,Q2
ORD-00092,2022-06-10,North,Food & Beverages,Consumer,Standard Class,2,113.51,0.2,49.54,181.62,-30.81,June,2022,Q2
ORD-00093,2023-01-27,East,Food & Beverages,Corporate,Second Class,18,128.26,0.2,42.91,1846.94,210.33,January,2023,Q1
ORD-00094,2022-10-12,South,Clothing,Consumer,Standard Class,17,396.01,0.0,41.24,6732.17,552.85,October,2022,Q4
ORD-00095,2022-07-07,West,Clothing,Home Office,Standard Class,15,272.39,0.4,22.18,2451.51,216.85,July,2022,Q3
ORD-00096,2022-11-22,South,Clothing,Consumer,Standard Class,2,356.71,0.0,18.34,713.42,217.85,November,2022,Q4
ORD-00097,2023-02-28,East,Furniture,Home Office,Second Class,3,277.09,0.1,37.97,748.14,195.43,February,2023,Q1
ORD-00098,2022-07-04,East,Furniture,Corporate,Standard Class,5,130.01,0.1,9.5,585.04,86.05,July,2022,Q3
ORD-00099,2023-01-12,South,Electronics,Home Office,Standard Class,1,327.11,0.1,48.78,294.4,-30.32,January,2023,Q1
ORD-00100,2023-11-20,North,Clothing,Consumer,Second Class,19,187.59,0.0,30.31,3564.21,588.74,November,2023,Q4
ORD-00101,2022-12-01,South,Sports,Consumer,Second Class,9,191.82,0.1,26.62,1553.74,126.51,December,2022,Q4
ORD-00102,2022-02-04,West,Electronics,Corporate,Second Class,6,173.96,0.3,24.03,730.63,130.44,February,2022,Q1
ORD-00103,2022-12-22,East,Food & Beverages,Consumer,Standard Class,13,135.27,0.0,36.61,1758.51,460.45,December,2022,Q4
ORD-00104,2023-07-19,East,Furniture,Consumer,Standard Class,8,404.37,0.4,20.54,1940.98,436.56,July,2023,Q3
ORD-00105,2023-11-04,West,Electronics,Consumer,First Class,11,116.69,0.0,41.83,1283.59,234.38,November,2023,Q4
ORD-00106,2022-11-17,South,Clothing,Home Office,Same Day,13,219.69,0.2,40.58,2284.78,519.75,November,2022,Q4
ORD-00107,2023-08-14,North,Electronics,Consumer,Second Class,18,192.51,0.0,42.04,3465.18,1129.15,August,2023,Q3
ORD-00108,2022-12-28,South,Sports,Consumer,Standard Class,9,440.12,0.1,7.88,3564.97,244.62,December,2022,Q4
ORD-00109,2022-11-11,North,Clothing,Consumer,Standard Class,7,467.54,0.0,30.13,3272.78,349.69,November,2022,Q4
ORD-00110,2023-01-12,North,Electronics,Home Office,Second Class,10,486.51,0.2,35.36,3892.08,474.55,January,2023,Q1
ORD-00111,2023-04-21,East,Sports,Corporate,Standard Class,19,96.7,0.1,34.81,1653.57,459.97,April,2023,Q2
ORD-00112,2023-10-20,West,Sports,Home Office,Standard Class,8,177.67,0.1,37.9,1279.22,66.03,October,2023,Q4
ORD-00113,2022-01-14,South,Electronics,Consumer,First Class,5,244.48,0.0,15.28,1222.4,263.56,January,2022,Q1
ORD-00114,2022-08-29,South,Food & Beverages,Home Office,Same Day,12,308.71,0.2,25.88,2963.62,804.87,August,2022,Q3
ORD-00115,2023-11-27,North,Clothing,Consumer,Standard Class,5,495.51,0.0,24.08,2477.55,377.29,November,2023,Q4
ORD-00116,2023-06-22,East,Electronics,Consumer,Standard Class,5,238.02,0.2,16.54,952.08,70.58,June,2023,Q2
ORD-00117,2023-01-30,North,Food & Beverages,Home Office,Standard Class,17,92.35,0.0,38.8,1569.95,447.36,January,2023,Q1
ORD-00118,2022-06-09,East,Clothing,Consumer,Second Class,16,279.41,0.0,5.34,4470.56,1097.14,June,2022,Q2
ORD-00119,2023-05-19,East,Clothing,Corporate,Standard Class,13,377.43,0.1,14.36,4415.93,470.35,May,2023,Q2
ORD-00120,2023-06-19,East,Furniture,Consumer,Standard Class,13,76.28,0.1,12.39,892.48,296.24,June,2023,Q2
ORD-00121,2023-10-13,South,Furniture,Corporate,Second Class,19,85.63,0.2,43.2,1301.58,195.42,October,2023,Q4
ORD-00122,2023-09-13,West,Clothing,Home Office,Standard Class,2,362.81,0.3,25.42,507.93,18.27,September,2023,Q3
ORD-00123,2022-12-20,East,Clothing,Home Office,Standard Class,10,83.71,0.1,20.98,753.39,17.31,December,2022,Q4
ORD-00124,2022-08-31,South,Electronics,Corporate,Standard Class,14,498.38,0.3,29.17,4884.12,1057.92,August,2022,Q3
ORD-00125,2022-02-08,South,Electronics,Consumer,Standard Class,10,247.81,0.0,35.73,2478.1,810.65,February,2022,Q1
ORD-00126,2023-02-07,West,Clothing,Corporate,Second Class,7,406.21,0.1,48.05,2559.12,339.38,February,2023,Q1
ORD-00127,2023-08-13,West,Sports,Consumer,Standard Class,2,170.78,0.2,46.99,273.25,-4.37,August,2023,Q3
ORD-00128,2022-07-09,East,Electronics,Consumer,Standard Class,1,404.25,0.0,3.61,404.25,26.02,July,2022,Q3
ORD-00129,2022-09-12,East,Clothing,Home Office,Standard Class,18,107.08,0.2,45.89,1541.95,100.33,September,2022,Q3
ORD-00130,2022-05-11,North,Clothing,Consumer,Standard Class,14,337.23,0.0,47.65,4721.22,657.95,May,2022,Q2
ORD-00131,2022-02-09,West,Clothing,Consumer,Standard Class,5,223.67,0.0,48.03,1118.35,277.26,February,2022,Q1
ORD-00132,2023-10-06,South,Sports,Corporate,Standard Class,7,146.8,0.1,28.91,924.84,64.27,October,2023,Q4
ORD-00133,2023-08-15,East,Clothing,Corporate,First Class,17,449.32,0.2,17.49,6110.75,1447.0,August,2023,Q3
ORD-00134,2022-09-13,North,Furniture,Consumer,Standard Class,2,495.84,0.1,42.82,892.51,49.67,September,2022,Q3
ORD-00135,2022-04-05,East,Food & Beverages,Corporate,Standard Class,12,333.96,0.1,32.59,3606.77,481.54,April,2022,Q2
ORD-00136,2022-06-07,South,Electronics,Corporate,Standard Class,4,421.51,0.2,49.57,1348.83,267.71,June,2022,Q2
ORD-00137,2023-07-01,West,Sports,Consumer,Second Class,5,124.94,0.1,26.79,562.23,122.45,July,2023,Q3
ORD-00138,2022-08-07,North,Sports,Corporate,Standard Class,6,369.86,0.2,29.45,1775.33,561.99,August,2022,Q3
ORD-00139,2023-02-22,West,Electronics,Corporate,Standard Class,9,380.62,0.3,15.73,2397.91,348.74,February,2023,Q1
ORD-00140,2022-05-20,North,Clothing,Consumer,Standard Class,5,401.35,0.0,3.0,2006.75,666.08,May,2022,Q2
ORD-00141,2023-10-18,South,Electronics,Consumer,Second Class,7,69.78,0.0,24.72,488.46,25.83,October,2023,Q4
ORD-00142,2022-05-08,North,Electronics,Consumer,Standard Class,9,287.46,0.1,17.7,2328.43,749.98,May,2022,Q2
ORD-00143,2022-08-12,East,Clothing,Consumer,Standard Class,7,432.38,0.1,24.79,2723.99,838.27,August,2022,Q3
ORD-00144,2022-03-09,South,Clothing,Consumer,Standard Class,11,177.08,0.3,7.46,1363.52,239.29,March,2022,Q1
ORD-00145,2022-07-23,West,Electronics,Home Office,Standard Class,17,350.24,0.4,41.85,3572.45,948.35,July,2022,Q3
ORD-00146,2022-05-03,North,Furniture,Consumer,Standard Class,9,198.66,0.0,8.89,1787.94,478.67,May,2022,Q2
ORD-00147,2022-07-18,West,Food & Beverages,Consumer,Second Class,5,152.95,0.1,18.6,688.28,194.03,July,2022,Q3
ORD-00148,2022-02-22,South,Furniture,Consumer,Standard Class,11,95.31,0.4,6.96,629.05,42.98,February,2022,Q1
ORD-00149,2022-10-25,East,Clothing,Corporate,Second Class,16,75.07,0.1,18.42,1081.01,332.65,October,2022,Q4
ORD-00150,2022-12-21,East,Food & Beverages,Corporate,Standard Class,5,283.74,0.3,28.39,993.09,99.31,December,2022,Q4
ORD-00151,2023-10-10,North,Electronics,Consumer,Standard Class,11,446.76,0.4,46.03,2948.62,314.34,October,2023,Q4
ORD-00152,2022-05-30,West,Electronics,Home Office,Standard Class,2,194.43,0.0,22.16,388.86,20.49,May,2022,Q2
ORD-00153,2023-06-02,East,Electronics,Consumer,Standard Class,6,290.37,0.0,41.71,1742.22,224.19,June,2023,Q2
ORD-00154,2023-02-19,West,Electronics,Consumer,Standard Class,8,471.93,0.1,11.69,3397.9,418.86,February,2023,Q1
ORD-00155,2023-12-07,East,Electronics,Consumer,Standard Class,6,278.04,0.2,39.37,1334.59,74.05,December,2023,Q4
ORD-00156,2022-01-22,West,Electronics,Consumer,Standard Class,19,408.99,0.2,25.59,6216.65,936.37,January,2022,Q1
ORD-00157,2022-08-29,East,Furniture,Consumer,Second Class,18,150.01,0.1,31.78,2430.16,788.03,August,2022,Q3
ORD-00158,2022-04-09,East,Furniture,Consumer,First Class,16,21.9,0.1,18.84,315.36,18.23,April,2022,Q2
ORD-00159,2022-02-09,East,Electronics,Home Office,Standard Class,16,339.16,0.0,38.32,5426.56,497.69,February,2022,Q1
ORD-00160,2023-03-21,South,Clothing,Consumer,Second Class,12,30.38,0.0,18.33,364.56,11.79,March,2023,Q1
ORD-00161,2023-10-03,North,Food & Beverages,Home Office,Standard Class,17,228.51,0.0,33.03,3884.67,1042.77,October,2023,Q4
ORD-00162,2022-03-12,East,Food & Beverages,Consumer,Standard Class,13,109.78,0.3,32.63,999.0,261.73,March,2022,Q1
ORD-00163,2022-10-02,South,Food & Beverages,Consumer,First Class,3,303.02,0.1,27.22,818.15,106.4,October,2022,Q4
ORD-00164,2022-09-22,East,Clothing,Corporate,Same Day,16,491.96,0.1,28.5,7084.22,2144.12,September,2022,Q3
ORD-00165,2023-06-19,East,Clothing,Consumer,Standard Class,5,68.31,0.0,32.1,341.55,82.68,June,2023,Q2
ORD-00166,2022-04-25,South,Clothing,Consumer,Standard Class,6,151.63,0.0,3.66,909.78,219.45,April,2022,Q2
ORD-00167,2023-09-22,North,Food & Beverages,Consumer,Standard Class,2,105.53,0.1,15.09,189.95,-4.81,September,2023,Q3
ORD-00168,2022-07-27,West,Sports,Home Office,Standard Class,13,69.16,0.1,45.45,809.17,199.45,July,2022,Q3
ORD-00169,2022-01-02,East,Electronics,Corporate,Standard Class,5,10.5,0.3,29.2,36.75,-19.72,January,2022,Q1
ORD-00170,2023-10-26,West,Furniture,Corporate,Standard Class,5,336.32,0.1,29.77,1513.44,361.81,October,2023,Q4
ORD-00171,2022-05-20,South,Electronics,Consumer,First Class,7,221.0,0.1,18.71,1392.3,358.83,May,2022,Q2
ORD-00172,2023-08-03,West,Electronics,Consumer,Standard Class,15,426.37,0.2,27.69,5116.44,967.53,August,2023,Q3
ORD-00173,2023-05-21,West,Sports,Corporate,Second Class,3,280.02,0.0,17.31,840.06,36.52,May,2023,Q2
ORD-00174,2022-09-06,South,Food & Beverages,Consumer,Standard Class,12,399.99,0.1,48.49,4319.89,1303.37,September,2022,Q3
ORD-00175,2022-10-14,South,Electronics,Corporate,Standard Class,7,335.51,0.2,34.33,1878.86,205.86,October,2022,Q4
ORD-00176,2022-12-06,South,Clothing,Consumer,Standard Class,5,226.86,0.0,29.86,1134.3,30.38,December,2022,Q4
ORD-00177,2022-06-11,South,Food & Beverages,Corporate,Standard Class,11,162.87,0.0,41.24,1791.57,313.21,June,2022,Q2
ORD-00178,2023-04-04,West,Clothing,Consumer,First Class,19,201.12,0.1,29.25,3439.15,1092.39,April,2023,Q2
ORD-00179,2022-02-01,North,Sports,Home Office,First Class,12,54.02,0.0,8.94,648.24,146.92,February,2022,Q1
ORD-00180,2022-05-14,North,Clothing,Consumer,Standard Class,1,309.92,0.0,27.19,309.92,26.24,May,2022,Q2
ORD-00181,2023-02-18,South,Food & Beverages,Home Office,Standard Class,14,168.91,0.0,25.56,2364.74,150.45,February,2023,Q1
ORD-00182,2022-11-01,East,Electronics,Corporate,Standard Class,13,19.16,0.0,48.36,249.08,22.46,November,2022,Q4
ORD-00183,2023-10-26,North,Food & Beverages,Consumer,Standard Class,10,44.62,0.0,12.71,446.2,132.56,October,2023,Q4
ORD-00184,2022-11-08,East,Furniture,Corporate,Standard Class,2,45.57,0.1,16.66,82.03,-10.97,November,2022,Q4
ORD-00185,2022-09-14,East,Electronics,Home Office,First Class,4,24.84,0.0,31.51,99.36,-0.54,September,2022,Q3
ORD-00186,2022-11-24,East,Electronics,Home Office,Second Class,7,283.57,0.0,49.81,1984.99,472.01,November,2022,Q4
ORD-00187,2022-06-01,North,Food & Beverages,Corporate,Second Class,16,140.22,0.2,21.11,1794.82,352.47,June,2022,Q2
ORD-00188,2023-04-30,North,Clothing,Consumer,Standard Class,13,390.65,0.1,37.39,4570.6,771.93,April,2023,Q2
ORD-00189,2023-03-08,South,Sports,Corporate,Standard Class,3,208.44,0.2,23.35,500.26,60.88,March,2023,Q1
ORD-00190,2023-03-09,South,Furniture,Corporate,Standard Class,15,90.63,0.0,18.03,1359.45,385.41,March,2023,Q1
ORD-00191,2022-12-28,North,Clothing,Consumer,Standard Class,11,74.76,0.2,38.98,657.89,147.68,December,2022,Q4
ORD-00192,2023-10-28,South,Electronics,Consumer,Standard Class,4,305.88,0.1,3.67,1101.17,257.04,October,2023,Q4
ORD-00193,2023-02-13,South,Electronics,Consumer,Standard Class,17,408.66,0.0,38.94,6947.22,591.1,February,2023,Q1
ORD-00194,2023-06-15,South,Furniture,Consumer,Second Class,12,62.09,0.1,15.49,670.57,169.75,June,2023,Q2
ORD-00195,2022-11-17,North,Clothing,Home Office,Standard Class,4,325.68,0.0,21.59,1302.72,334.03,November,2022,Q4
ORD-00196,2023-06-06,East,Food & Beverages,Home Office,Standard Class,19,464.74,0.2,43.29,7064.05,536.33,June,2023,Q2
ORD-00197,2023-08-01,West,Sports,Consumer,Standard Class,12,400.83,0.0,43.62,4809.96,934.67,August,2023,Q3
ORD-00198,2023-10-15,North,Clothing,Consumer,Second Class,5,402.88,0.0,6.45,2014.4,333.62,October,2023,Q4
ORD-00199,2023-04-18,North,Electronics,Home Office,Standard Class,17,362.58,0.1,15.5,5547.47,1407.18,April,2023,Q2
ORD-00200,2023-05-20,South,Electronics,Corporate,Standard Class,10,398.15,0.0,38.51,3981.5,417.5,May,2023,Q2
ORD-00201,2023-09-24,North,Electronics,Home Office,Standard Class,10,16.38,0.0,47.16,163.8,-2.45,September,2023,Q3
ORD-00202,2022-04-06,North,Clothing,Corporate,Same Day,16,125.75,0.1,33.98,1810.8,103.17,April,2022,Q2
ORD-00203,2022-12-26,West,Clothing,Consumer,Standard Class,17,145.35,0.1,43.33,2223.86,280.89,December,2022,Q4
ORD-00204,2023-10-21,South,Electronics,Home Office,First Class,13,385.87,0.2,39.91,4013.05,767.36,October,2023,Q4
ORD-00205,2022-03-08,North,Clothing,Consumer,First Class,18,353.02,0.1,18.08,5718.92,1516.39,March,2022,Q1
ORD-00206,2022-09-01,South,Clothing,Consumer,Second Class,6,344.34,0.2,47.7,1652.83,429.97,September,2022,Q3
ORD-00207,2022-06-08,South,Clothing,Consumer,Second Class,1,459.01,0.0,17.22,459.01,37.98,June,2022,Q2
ORD-00208,2022-01-17,North,Electronics,Consumer,Standard Class,17,254.2,0.2,35.51,3457.12,772.0,January,2022,Q1
ORD-00209,2022-10-18,South,Furniture,Home Office,First Class,17,494.02,0.0,36.76,8398.34,1948.13,October,2022,Q4
ORD-00210,2023-10-21,South,Food & Beverages,Consumer,Standard Class,15,381.62,0.0,3.69,5724.3,1191.34,October,2023,Q4
ORD-00211,2022-05-14,East,Furniture,Corporate,Standard Class,7,264.73,0.0,23.69,1853.11,527.57,May,2022,Q2
ORD-00212,2023-03-07,East,Electronics,Consumer,Standard Class,18,403.35,0.1,29.36,6534.27,458.86,March,2023,Q1
ORD-00213,2023-05-01,East,Food & Beverages,Consumer,Second Class,2,58.22,0.2,42.52,93.15,-19.05,May,2023,Q2
ORD-00214,2023-02-17,East,Electronics,Home Office,Second Class,10,368.87,0.1,10.87,3319.83,664.27,February,2023,Q1
ORD-00215,2022-07-18,West,Food & Beverages,Home Office,Standard Class,4,472.0,0.0,38.07,1888.0,76.34,July,2022,Q3
ORD-00216,2023-10-08,East,Food & Beverages,Home Office,First Class,7,209.23,0.3,34.14,1025.23,255.68,October,2023,Q4
ORD-00217,2022-09-08,North,Electronics,Consumer,Same Day,2,46.14,0.2,28.33,73.82,-22.74,September,2022,Q3
